"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","neglog10_adjP","direction","deg_class"
"MAGEC3",-0.00682727448889668,5.25347623957765,-0.855680654595977,0.392322337354715,0.653283029486674,-6.23783012449841,0.184898623451119,"None","Not significant"
"TMEM9",0.0242515118793473,9.14726321711539,0.85561047609593,0.392361153575276,0.653294300059789,-6.23788908845637,0.184891130978073,"None","Not significant"
"SLC26A4",0.0081956682398091,5.32813347332674,0.855546673026617,0.392396445523585,0.653294449165332,-6.23794269158662,0.184891031856273,"None","Not significant"
"ZNF628",0.00780441229370463,5.5897837066425,0.855443466692725,0.392453537022695,0.653294449165332,-6.23802939028726,0.184891031856273,"None","Not significant"
"FARSB",0.00828714261740985,5.69017939512971,0.855436508123668,0.39245738653317,0.653294449165332,-6.23803523547194,0.184891031856273,"None","Not significant"
"CALR3",-0.00644610512611274,5.39848503732505,-0.855361565140521,0.392498846767927,0.653310116058152,-6.23809818442502,0.184880617006545,"None","Not significant"
"SYCP2",0.029784590664306,6.27557187958905,0.854620113566278,0.39290917859675,0.653894395780959,-6.23872067567908,0.184492384753515,"None","Not significant"
"CALM1",0.0217252282472224,10.7944065522853,0.854608098110142,0.392915830295366,0.653894395780959,-6.2387307589057,0.184492384753515,"None","Not significant"
"PIGN",-0.0221311508952129,7.71816695069941,-0.854553412413407,0.392946104896578,0.653894395780959,-6.23877664869704,0.184492384753515,"None","Not significant"
"ERCC5",-0.0209485027216342,8.93288555282045,-0.854377161059976,0.393043689208079,0.653972001594343,-6.23892453098874,0.184440844662533,"None","Not significant"
"MTMR10",-0.00712440730291557,5.46102749961601,-0.854306777178481,0.393082662449051,0.653972001594343,-6.23898357750913,0.184440844662533,"None","Not significant"
"MIR2052HG",-0.00759117377779359,5.60369573963482,-0.854295361439808,0.393088983837895,0.653972001594343,-6.23899315395456,0.184440844662533,"None","Not significant"
